,spotid,spotname
0,422,Stage Deli
1,189,Tribute WTC Visitor center
2,608,Ellen's Stardust Diner
3,2110,15 Central Park West
4,1848,Traffic
5,2401,Sazon
6,442,Millenium Hilton
7,958,Green-Wood Cemetery
8,175,Battery Park Playground
9,1526,Rosa Mexicana
10,451,The Riviera Cafe
11,426,The Grey Dog's Coffee
12,3446,Starbucks Coffee
13,2195,Wombat
14,147,Muhlenberg Branch of NY Public Library
15,536,Mompou
16,599,Silver Center
17,2473,Vaughn College Of Aeronautics And Technology
18,1932,Venda
19,473,Ollie's
20,677,"Intrepid Sea, Air & Space Museum"
21,644,New Victory Theater
22,582,Great Lakes
23,2075,Tompkins Square Park Playground
24,2196,Ginger House
25,951,Vezzo
26,642,AMC Empire 25
27,2374,Mars 2112
28,600,Manhattan Mall
29,2679,Five Guys Burgers and Fries
