,spotid,spotname
1653,249,JFK John F. Kennedy International
1932,172,Shake Shack
2102,110,Flatiron Building 
2245,1630,Market
2258,420,Westville
2429,310,The Chelsea Market
2636,151,The High Line
2693,238,"Magnolia Bakery, Downtown"
3784,46,Times Square
3870,16,New York Stock Exchange
3901,205,Federal Hall National Memorial
3955,152,Trinity Church
3975,1354,John's of Bleecker Street
4152,165,Washington Square Park 
4411,183,Madison Square Park
4689,933,Ace Hotel
5079,76,Empire State Building
5159,417,Chrysler Building
5195,1304,Virgil's Real Barbecue
5520,179,JFK Terminal 5
5545,2439,Corner Bistro
5583,273,Artichoke Basille's
5599,1229,Blue Fin
5604,48,Morgan Stanley
5905,43,The New York Public Library
5942,654,NASDAQ Marketsite
5969,1790,Queens Midtown Tunnel
5990,773,Conde Nast Building
6407,42,Bryant Park
7413,114,Grand Central Terminal
7534,2271,Neuberger Berman
7593,500,Chelsea Piers
7730,277,New Yorker Hotel
7901,299,The New York Times
8337,52,Madison Square Garden
8352,1620,Café Grumpy 
8398,708,Harefield Road
8429,1094,Bar 9
8443,627,Pete's Tavern
8480,1021,Buttermilk Channel
8491,755,Building on Bond
8525,880,Spice Market
8598,105,DuMont Restaurant
8643,1770,Third Rail Coffee
8664,707,Death & Co
8687,2309,Hotel Delmano
8767,2162,The Breslin
9159,85,The Museum of Modern Art (MoMA)
9254,1122,Schiller's Liquor Bar
9300,1451,Sheraton New York Hotel & Towers
10389,275,EWR Newark Liberty International
10447,1110,Webster Hall
10471,334,Cabin Down Under
10478,1763,Holiday Cocktail Lounge
10501,93,East Village Radio
10510,2376,Havana Alma de Cuba
10577,101,Manhattan Park
10607,79,P.J. Clarke's
10625,1896,Sotheby's
11007,1650,Union Square
12688,78,LGA LaGuardia Airport
12711,964,The Asia Society
12863,228,Roosevelt Island Station
12921,1592,Sweet & Vicious
12944,1290,Artisanal
13003,1145,Beauty Bar - New York
13017,100,Billymark's West
13162,323,Stumptown Coffee Roasters
13176,1295,Maconda
13187,484,McDonald's
13195,1537,Helen Hayes
13273,118,The Standard Hotel
13292,2358,Marquis Theatre
13318,117,National Arts Club
13504,1470,Happy Cog
13568,2184,Norma's
13612,1635,Burger Joint
13663,1998,Terminal 5
13724,343,Rice
13833,113,The Plaza
13855,230,Lil' Frankie's Pizza
13869,954,Lyceum Theater
13886,2014,Ambassador Theater
13909,1764,August Wilson Theatre
13969,2297,Broadway Theater
14022,1895,Gershwin Theatre
14034,1300,Studio 54
14123,112,St. Regis Hotel
14140,120,The Kitchen
14169,987,Harvard Club
14204,2486,Weather Up
14222,1186,Katsu-Hama
14246,157,Bergdorf Goodman
14307,342,Nintendo World
14315,91,Starbucks
14324,267,Gristedes
14342,1955,Brooks Atkinson Theatre
14353,2355,Broadhurst Theater
14358,2378,THE BOOK OF MORMON at the Eugene O'Neill Theatre
14385,737,Shubert Theatre
14450,1197,Five Napkin Burger
14481,239,The Public Theater
14610,784,Ogilvy
14784,1471,"Apple Store, Upper West Side"
14804,1619,Holy Trinity Lutheran Church
14823,1868,Shun Lee Westside
14849,1002,Vivian Beaumont Theatre
14917,557,Lincoln Center
14932,2291,Kokayi Health- Center For Holistic Medicine
14949,2329,Instinet
14953,2330,Chase
15002,601,Westin New York at Times Square
15015,1434,3 Times Square
15022,1263,Shula's Steak House
15036,1583,Villa
15089,2035,Starbucks
15121,553,Regal Cinemas E-Walk Stadium 13 & RPX
15191,642,AMC Empire 25
15209,643,Hilton Times Square
15245,644,New Victory Theater
15288,1567,Mamoun's Falafel (St. Marks)
15309,1111,Grassroots Tavern
15321,1997,Jake's Saloon
15326,1745,Ocean Dragon
15329,1939,Boston Market
15384,1621,Ink 48
15394,2214,Duane Reade
15404,1696,Fresco 57
15425,471,Archstone Clinton
15479,1931,CBS Station Break Commissary
15486,2385,Ars Nova
15488,1904,Kenneth Cole Productions
15534,667,CBS Broadcast Center
15557,1902,The Daily Show
15600,1901,DeWitt Clinton Park
15604,676,Larry Flynt's Hustler Club
15605,1828,Tasos
15610,675,Pier 92
15628,670,Pier 94
15642,533,Midtown Comics (Times Square)
15651,1944,Alvin Ailey American Dance Theater
15674,2459,Ziegfeld Theatre
15691,1897,Chase
15699,1820,Sports Club LA 
15727,979,El Porron
15771,2111,Clearview Cinema
15794,1587,Dangerfield's
15914,396,Balthazar
15968,1194,Starbucks Coffee
15984,598,Attention
16005,2428,Spring Street Natural Restaurant
16027,1367,Ben Sherman
16034,1366,Burton
16044,405,Seize sur Vingt
16054,2470,The Charles
16090,2115,64 Morton
16113,1049,New Work City
16139,1499,SOB's
16147,2471,Actor's Playhouse
16181,1448,Duplex
16205,1963,Fat Cat
16237,1041,Comix
16270,1694,Chanpen Thai Cuisine
16328,581,The Maritime Hotel
16403,922,Bill's Bar & Burger
16460,322,Google 
16463,613,Waverly Inn
16489,377,ITP
16509,1058,NYU Skirball Center for New Media & Film
16593,2228,Donkey
16644,2226,Cooper Square Hotel
16667,668,"Blue Man Group, Astor Place"
16812,497,Hill Country Barbecue Market
16819,1779,GolinHarris (New York)
16835,2180,Starbucks (135 E 57th Street)
16884,1898,Dior
16989,1813,The Watering Hole
17014,1943,USPS Madison Square Station
17036,2140,Barbounia
17082,1851,Maialino
17095,1523,Gramercy Hotel Rose Bar
17098,1903,121 Madison Avenue
17134,1565,Keko Café
17158,1409,BCD Tofu House
17198,2260,Agnes Dei HQ
17220,1435,3 Park Avenue Q
17294,961,Affinia Dumont
17299,986,Murray Hill Diner
17310,2259,USPS — Murray Hill Station
17507,1064,Vol de Nuit
17610,2325,Fatty Johnson's
17625,1355,Risotteria
17648,1356,Murray's Cheese
17667,1357,Bleecker Street Records
17686,134,Black Iron Burger
17690,482,Zaragoza
17709,409,Phoenix
17733,1801,Destination Bar & Grill
17741,1301,Heathers
17754,2341,Pizza Grupo
17769,2456,Hi Fi 
17822,2466,Niagara
17861,1714,Supper
17918,1335,NoHo Star
17962,1938,Macbar
17997,1908,Housing Works Bookstore Cafe
18129,971,UNIQLO (SoHo)
18234,865,The New Museum
18247,1159,SoHo Park
18293,972,Crosby Street Hotel
18359,1384,Ed's Lobster Bar
18398,158,La Esquina
18432,298,navhaus
18455,1253,Children's Museum Of The Arts
18466,1090,Wing Wong
18483,1877,Holiday Inn
18495,1875,Excellent House Of Dumplings
18514,219,T Kang Taekwondo
18518,1564,Barber Shop
18574,849,City Hall
18604,168,Woolworth Building
18669,848,City Hall Park
18758,173,St. Paul's Chapel
18789,18,National September 11 Memorial & Museum
18806,17,2 World Trade Center
18818,19,3 World Trade Center
18983,32,World Trade Center (Ground Zero)
18999,658,Dunkin' Donuts
19017,921,Pepolino
19037,1876,Café Noir
19069,284,The Cupping Room Cafe
19072,1360,Glowlab
19111,2249,Scuderia
19158,1507,El Paso Restaurant
19206,257,Tiffany & Co.
19273,1834,NIKETOWN
19474,1204,Dylan's Candy Bar
19528,1203,Urban Outfitters
19585,269,Queensboro Bridge
19620,2071,J.J. Hat Center
19641,2163,Kun Jip
19744,2126,Starbucks Coffee
19899,223,Regal Union Square Stadium 14
19956,315,Coffee Shop
20088,1132,Applebee's
20107,1778,Citibank
20139,1511,Yoshinoya
20151,639,Statue of Ralph Kramden
20211,640,Dean & Deluca
20279,1649,Nick & Stef's Steakhouse
20323,98,Public
20345,2434,Trevi Deli
20348,1292,119 Bar
20393,1589,Bar Jamón
20707,2165,Ippudo
20723,2264,Kmart
20778,941,Astor Place Station
20827,90,Four Seasons Hotel New York
20855,1093,Falai
20857,1996,Nurse Bettie
20883,1560,Enid's
21053,1978,Terminal 4 at JFK
21109,2495,Bill's Place
21120,561,McDonald's
21125,2204,Nicola's
21136,80,The Chapel of the Good Shepherd
21150,1556,Blue Moon
21200,194,Starbucks
21208,340,Saint Frances Xavier Cabrini Catholic Church
21218,962,Delizia
21226,2497,Banshee Pub
21233,278,Roosevelt Island School PS 217
21249,2449,David Copperfields
21258,1046,74th Street Generating Station
21269,1769,Park Avenue Armory
21277,119,Daniel
21311,1961,Landmark's Sunshine Cinema
21330,503,Russ & Daughters
21364,1289,Thompson LES 
21394,2062,Rockwood Music Hall
21396,2479,Caramelo @ dTox 2nd Ave. Bet. 1st & 2nd St. 
21398,2294,Sunshine Cafe
21430,470,Gracie Mansion
21486,1797,Carl Schurz Park
21492,229,Trellis
21497,1242,Tutti Bambini
21502,878,Iron Sushi
21518,2237,Southern Hospitality
21556,1011,Agata & Valentina
21562,938,Zucchero e Pomodori
21571,690,3 Star Diner
21581,1205,Bar Boulud
21588,2160,Ed's Chowder House
21614,2207,Starbucks Lincoln Center
21637,1498,Metropolitan Opera House
21661,433,The Empire Hotel Rooftop
21689,616,Equinox
21722,469,Borders
21825,656,Whole Foods Market (Columbus Circle)
